EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
16720,2457415.5,58128,5267.53886,-2893.39616,-3530.90852,4.95339,3.51162,4.51005,6973.18284,0.00043,0.8986,6.26742,5.25543,0.32332,0.32359,0,235.8,-44.3,-30.5,-38,0,1,1
16740,2457415.5,58148,5365.35951,-2822.48851,-3439.88158,4.82829,3.57887,4.59229,6973.43098,0.00046,0.89861,6.26741,5.29604,0.30442,0.3047,0,236,-43.7,-29.6,-37.1,0,1,1
16760,2457415.5,58168,5460.65505,-2750.2525,-3347.23134,4.70089,3.64445,4.67237,6973.6769,0.00049,0.89863,6.26739,5.33489,0.28728,0.28755,0,236.2,-43,-28.8,-36.2,0,1,1
16780,2457415.5,58188,5553.38045,-2676.72202,-3253.00139,4.57128,3.70831,4.75025,6973.9201,0.00052,0.89864,6.26738,5.37231,0.27157,0.27185,0,236.4,-42.4,-27.9,-35.2,0,1,1
16800,2457415.5,58208,5643.49185,-2601.93158,-3157.23609,4.4395,3.77044,4.8259,6974.16009,0.00055,0.89866,6.26737,5.40852,0.25707,0.25735,0,236.6,-41.8,-27,-34.3,0,1,1
16820,2457415.5,58228,5730.94662,-2525.91628,-3059.98052,4.30563,3.83079,4.89928,6974.39641,0.00058,0.89867,6.26736,5.44372,0.24357,0.24385,0,236.8,-41.1,-26.1,-33.5,0,1,1
16840,2457415.5,58248,5815.70341,-2448.71182,-2961.28047,4.16972,3.88935,4.97034,6974.62865,0.00061,0.89868,6.26735,5.47807,0.23094,0.23122,0,237.1,-40.5,-25.2,-32.6,0,1,1
16860,2457415.5,58268,5897.72209,-2370.35447,-2861.18244,4.03183,3.94608,5.03907,6974.85639,0.00064,0.8987,6.26734,5.51168,0.21904,0.21931,0,237.3,-39.8,-24.3,-31.7,0,1,1
16880,2457415.5,58288,5976.96386,-2290.88103,-2759.73359,3.89203,4.00095,5.10542,6975.07922,0.00067,0.89871,6.26733,5.54467,0.20777,0.20804,0,237.5,-39.2,-23.4,-30.9,0,1,1
16900,2457415.5,58308,6053.3912,-2210.32885,-2656.98172,3.7504,4.05395,5.16936,6975.29675,0.00069,0.89872,6.26732,5.5771,0.19704,0.19731,0,237.7,-38.5,-22.4,-30.1,0,1,1
16920,2457415.5,58328,6126.96794,-2128.73578,-2552.97526,3.60699,4.10504,5.23087,6975.50857,0.00072,0.89873,6.26731,5.60907,0.18679,0.18706,0,238,-37.9,-21.5,-29.3,0,1,1
16940,2457415.5,58348,6197.65923,-2046.14019,-2447.76323,3.46186,4.1542,5.28992,6975.71429,0.00075,0.89874,6.2673,5.64061,0.17696,0.17722,0,238.2,-37.3,-20.6,-28.5,0,1,1
16960,2457415.5,58368,6265.43158,-1962.5809,-2341.39525,3.3151,4.2014,5.34646,6975.91355,0.00077,0.89875,6.26729,5.67179,0.1675,0.16776,0,238.4,-36.6,-19.7,-27.7,0,1,1
16980,2457415.5,58388,6330.25291,-1878.09722,-2233.92148,3.16677,4.24663,5.40049,6976.10601,0.00079,0.89877,6.26729,5.70264,0.15836,0.15861,0,238.7,-36,-18.7,-26.9,0,1,1
17000,2457415.5,58408,6392.09249,-1792.72888,-2125.39261,3.01694,4.28987,5.45197,6976.29136,0.00082,0.89878,6.26728,5.73321,0.14951,0.14976,0,238.9,-35.3,-17.8,-26.1,0,1,1
17020,2457415.5,58428,6450.92102,-1706.51605,-2015.85985,2.86568,4.33108,5.50088,6976.46927,0.00084,0.89879,6.26728,5.76352,0.14092,0.14115,0,239.1,-34.6,-16.8,-25.3,0,1,1
17040,2457415.5,58448,6506.71063,-1619.49928,-1905.37487,2.71306,4.37026,5.54719,6976.63943,0.00086,0.8988,6.26727,5.79361,0.13254,0.13277,0,239.4,-34,-15.9,-24.6,0,1,1
17060,2457415.5,58468,6559.43486,-1531.71952,-1793.98981,2.55915,4.40738,5.59088,6976.80152,0.00088,0.8988,6.26727,5.8235,0.12437,0.12459,0,239.6,-33.3,-14.9,-23.8,0,1,1
17080,2457415.5,58488,6609.06873,-1443.2181,-1681.75725,2.40404,4.44242,5.63193,6976.95524,0.0009,0.89881,6.26726,5.85322,0.11636,0.11657,0,239.9,-32.7,-14,-23.1,0,1,1
17100,2457415.5,58508,6655.58869,-1354.03668,-1568.73017,2.24778,4.47537,5.67033,6977.10029,0.00092,0.89882,6.26726,5.88279,0.10851,0.10871,0,240.1,-32,-13,-22.4,0,1,1
17120,2457415.5,58528,6698.9727,-1264.21724,-1454.96193,2.09045,4.50622,5.70605,6977.23639,0.00093,0.89883,6.26726,5.91223,0.1008,0.10098,0,240.4,-31.4,-12,-21.6,0,1,1
17140,2457415.5,58548,6739.20017,-1173.80207,-1340.50625,1.93214,4.53494,5.73907,6977.36325,0.00095,0.89884,6.26726,5.94155,0.0932,0.09337,0,240.7,-30.7,-11.1,-20.9,0,1,1
17160,2457415.5,58568,6776.25202,-1082.83376,-1225.41719,1.7729,4.56153,5.76938,6977.48061,0.00096,0.89884,6.26725,5.97076,0.0857,0.08586,0,240.9,-30,-10.1,-20.2,0,1,1
17180,2457415.5,58588,6810.11067,-991.35515,-1109.74909,1.61283,4.58597,5.79697,6977.58819,0.00098,0.89885,6.26725,5.99989,0.07829,0.07844,0,241.2,-29.4,-9.1,-19.5,0,1,1
17200,2457415.5,58608,6840.76007,-899.40934,-993.5566,1.45199,4.60825,5.82182,6977.68574,0.00099,0.89885,6.26725,6.02895,0.07096,0.0711,0,241.5,-28.7,-8.2,-18.8,0,1,1
17220,2457415.5,58628,6868.18566,-807.03965,-876.89461,1.29046,4.62836,5.84392,6977.77303,0.001,0.89886,6.26725,6.05793,0.06369,0.06382,0,241.8,-28,-7.2,-18.1,0,1,1
17240,2457415.5,58648,6892.37444,-714.28958,-759.81822,1.12832,4.64628,5.86326,6977.84987,0.00101,0.89886,6.26725,6.08686,0.05648,0.0566,0,242.1,-27.3,-6.2,-17.4,0,1,1
17260,2457415.5,58668,6913.31493,-621.20286,-642.38277,0.96564,4.66202,5.87983,6977.91606,0.00102,0.89887,6.26725,6.11573,0.04933,0.04943,0,242.4,-26.7,-5.2,-16.7,0,1,1
